ticker,shortName,sector,current_rank,current_score,current_score_status,staged_rank,staged_score,staged_score_status,pushed_rank,pushed_score,pushed_score_status,rank_vs_staged,score_vs_staged,movement_vs_staged,staged_rank_vs_pushed,staged_score_vs_pushed,staged_movement_vs_pushed,rank_vs_pushed,score_vs_pushed,movement_vs_pushed
INOXINDIA,INOX INDIA LIMITED,Industrials,831,48.8,ranked,531,51.9,ranked,531,51.9,ranked,-300,-3.1,down,0,0,unchanged,-300,-3.1,down
GREAVESCOT,GREAVES COTTON LTD.,Industrials,832,48.8,ranked,532,51.8,ranked,532,51.8,ranked,-300,-3,down,0,0,unchanged,-300,-3,down
PACEDIGITK,PACE DIGITEK LIMITED,Technology,833,48.8,ranked,341,53.8,ranked,341,53.8,ranked,-492,-5,down,0,0,unchanged,-492,-5,down
PSB,PUNJAB & SIND BANK,Financial Services,834,48.8,ranked,1031,46.3,ranked,1031,46.3,ranked,197,2.5,up,0,0,unchanged,197,2.5,up
PVRINOX,PVR INOX LIMITED,Communication Services,835,48.8,ranked,330,53.9,ranked,330,53.9,ranked,-505,-5.1,down,0,0,unchanged,-505,-5.1,down
ZYDUSLIFE,ZYDUS LIFESCIENCES LTD,Healthcare,836,48.7,ranked,667,50.7,ranked,667,50.7,ranked,-169,-2,down,0,0,unchanged,-169,-2,down
PAGEIND,PAGE INDUSTRIES LTD,Consumer Cyclical,837,48.7,ranked,467,52.5,ranked,467,52.5,ranked,-370,-3.8,down,0,0,unchanged,-370,-3.8,down
BIKAJI,BIKAJI FOODS INTERN LTD,Consumer Defensive,838,48.7,ranked,562,51.6,ranked,562,51.6,ranked,-276,-2.9,down,0,0,unchanged,-276,-2.9,down
TVSHLTD,TVS HOLDINGS LIMITED,Consumer Cyclical,839,48.7,ranked,883,48.4,ranked,883,48.4,ranked,44,0.3,up,0,0,unchanged,44,0.3,up
GALLANTT,GALLANTT ISPAT LIMITED,Basic Materials,840,48.7,ranked,752,49.8,ranked,752,49.8,ranked,-88,-1.1,down,0,0,unchanged,-88,-1.1,down
KRISHANA,KRISHANA PHOSCHEM LIMITED,Basic Materials,841,48.7,ranked,816,49.1,ranked,816,49.1,ranked,-25,-0.4,down,0,0,unchanged,-25,-0.4,down
RACLGEAR,RACL GEARTECH LIMITED,Consumer Cyclical,842,48.7,ranked,664,50.7,ranked,664,50.7,ranked,-178,-2,down,0,0,unchanged,-178,-2,down
LINDEINDIA,LINDE INDIA LIMITED,Basic Materials,843,48.6,ranked,981,47,ranked,981,47,ranked,138,1.6,up,0,0,unchanged,138,1.6,up
NH,NARAYANA HRUDAYALAYA LTD.,Healthcare,844,48.6,ranked,571,51.5,ranked,571,51.5,ranked,-273,-2.9,down,0,0,unchanged,-273,-2.9,down
CHALET,CHALET HOTELS LIMITED,Consumer Cyclical,845,48.6,ranked,275,54.6,ranked,275,54.6,ranked,-570,-6,down,0,0,unchanged,-570,-6,down
SJVN,SJVN LTD,Utilities,846,48.6,ranked,830,48.9,ranked,830,48.9,ranked,-16,-0.3,down,0,0,unchanged,-16,-0.3,down
BELRISE,BELRISE INDUSTRIES LTD,Consumer Cyclical,847,48.6,ranked,651,50.8,ranked,651,50.8,ranked,-196,-2.2,down,0,0,unchanged,-196,-2.2,down
RATNAMANI,RATNAMANI MET & TUB LTD.,Basic Materials,848,48.6,ranked,912,48,ranked,912,48,ranked,64,0.6,up,0,0,unchanged,64,0.6,up
NDRAUTO,NDR AUTO COMPONENTS LTD,Consumer Cyclical,849,48.6,ranked,892,48.3,ranked,892,48.3,ranked,43,0.3,up,0,0,unchanged,43,0.3,up
GOODYEAR,GOODYEAR INDIA LIMITED,Consumer Cyclical,850,48.6,ranked,329,53.9,ranked,329,53.9,ranked,-521,-5.3,down,0,0,unchanged,-521,-5.3,down
ENTERO,ENTERO HEALTHCARE SOLU L,Healthcare,851,48.5,ranked,746,49.8,ranked,746,49.8,ranked,-105,-1.3,down,0,0,unchanged,-105,-1.3,down
TSFINV,TSF INVESTMENTS LIMITED,Financial Services,852,48.5,ranked,370,53.4,ranked,370,53.4,ranked,-482,-4.9,down,0,0,unchanged,-482,-4.9,down
POWERICA,POWERICA LIMITED,Industrials,853,48.5,ranked,471,52.4,ranked,471,52.4,ranked,-382,-3.9,down,0,0,unchanged,-382,-3.9,down
DREDGECORP,DREDGING CORP OF INDIA,Industrials,854,48.5,ranked,1097,45,ranked,1097,45,ranked,243,3.5,up,0,0,unchanged,243,3.5,up
MWL,MANGALAM WORLDWIDE LTD,Basic Materials,855,48.5,ranked,722,50.1,ranked,722,50.1,ranked,-133,-1.6,down,0,0,unchanged,-133,-1.6,down
ASTERDM,ASTER DM QUALITY CARE LTD,Healthcare,856,48.4,ranked,582,51.4,ranked,582,51.4,ranked,-274,-3,down,0,0,unchanged,-274,-3,down
KIRLOSENG,KIRLOSKAR OIL ENG LTD,Industrials,857,48.4,ranked,648,50.8,ranked,648,50.8,ranked,-209,-2.4,down,0,0,unchanged,-209,-2.4,down
ARVINDFASN,ARVIND FASHIONS LIMITED,Consumer Cyclical,858,48.4,ranked,715,50.2,ranked,715,50.2,ranked,-143,-1.8,down,0,0,unchanged,-143,-1.8,down
WENDT,WENDT (INDIA) LIMITED,Industrials,859,48.4,ranked,1236,41.7,ranked,1236,41.7,ranked,377,6.7,up,0,0,unchanged,377,6.7,up
RML,RANE (MADRAS) LIMITED,Consumer Cyclical,860,48.4,ranked,1032,46.3,ranked,1032,46.3,ranked,172,2.1,up,0,0,unchanged,172,2.1,up
ANDHRAPAP,ANDHRA PAPER LIMITED,Basic Materials,861,48.4,ranked,897,48.2,ranked,897,48.2,ranked,36,0.2,up,0,0,unchanged,36,0.2,up
JIOFIN,JIO FIN SERVICES LTD,Financial Services,862,48.3,ranked,1084,45.3,ranked,1084,45.3,ranked,222,3,up,0,0,unchanged,222,3,up
NUVOCO,NUVOCO VISTAS CORP LTD,Basic Materials,863,48.3,ranked,305,54.2,ranked,305,54.2,ranked,-558,-5.9,down,0,0,unchanged,-558,-5.9,down
VMART,VMART RETAIL LTD,Consumer Cyclical,864,48.3,ranked,1131,44.3,ranked,1131,44.3,ranked,267,4,up,0,0,unchanged,267,4,up
PSPPROJECT,PSP PROJECTS LIMITED,Industrials,865,48.3,ranked,642,50.8,ranked,642,50.8,ranked,-223,-2.5,down,0,0,unchanged,-223,-2.5,down
NATCOPHARM,NATCO PHARMA LTD.,Healthcare,866,48.3,ranked,844,48.7,ranked,844,48.7,ranked,-22,-0.4,down,0,0,unchanged,-22,-0.4,down
PARAGMILK,PARAG MILK FOODS LTD.,Consumer Defensive,867,48.3,ranked,852,48.6,ranked,852,48.6,ranked,-15,-0.3,down,0,0,unchanged,-15,-0.3,down
BHARATRAS,BHARAT RASAYAN LTD,Basic Materials,868,48.3,ranked,719,50.2,ranked,719,50.2,ranked,-149,-1.9,down,0,0,unchanged,-149,-1.9,down
ROTO,ROTO PUMPS LIMITED,Industrials,869,48.3,ranked,1064,45.8,ranked,1064,45.8,ranked,195,2.5,up,0,0,unchanged,195,2.5,up
TRENT,TRENT LTD,Consumer Cyclical,870,48.2,ranked,833,48.8,ranked,833,48.8,ranked,-37,-0.6,down,0,0,unchanged,-37,-0.6,down
ASAHIINDIA,ASAHI INDIA GLASS LIMITED,Consumer Cyclical,871,48.2,ranked,917,47.9,ranked,917,47.9,ranked,46,0.3,up,0,0,unchanged,46,0.3,up
JAINREC,JAIN RESOURCE RECYCLING L,Basic Materials,872,48.2,ranked,787,49.4,ranked,787,49.4,ranked,-85,-1.2,down,0,0,unchanged,-85,-1.2,down
METROPOLIS,METROPOLIS HEALTHCARE LTD,Healthcare,873,48.2,ranked,398,53.3,ranked,398,53.3,ranked,-475,-5.1,down,0,0,unchanged,-475,-5.1,down
GREENLAM,GREENLAM INDUSTRIES LTD.,Consumer Cyclical,874,48.2,ranked,956,47.3,ranked,956,47.3,ranked,82,0.9,up,0,0,unchanged,82,0.9,up
SPAL,S. P. APPARELS LIMITED,Consumer Cyclical,875,48.2,ranked,931,47.7,ranked,931,47.7,ranked,56,0.5,up,0,0,unchanged,56,0.5,up
GICRE,GENERAL INS CORP OF INDIA,Financial Services,876,48.2,ranked,865,48.5,ranked,865,48.5,ranked,-11,-0.3,down,0,0,unchanged,-11,-0.3,down
NAVNETEDUL,NAVNEET EDUCATION LTD,Communication Services,877,48.2,ranked,829,48.9,ranked,829,48.9,ranked,-48,-0.7,down,0,0,unchanged,-48,-0.7,down
