ticker,shortName,sector,currentPrice,pct_below_52w_high,trailingPE,roe_pct,debtToEquity,promoter_pct,institutional_pct,institutions_count,avg_delivery_pct,delivery_trend,score,ownership_score,shareholding_score,final_score,reasons,shareholding_reasons
GUFICBIO,GUFIC BIOSCIENCES LTD.,Healthcare,413.7000122070313,7.65624727521624,64.53979,10.144,60.866,77.5,3.5,10.0,54.4,-7.4,5,0,2,7,earnings +71%; rev +17%,strong promoter 77.5%; ⚠ very high promoter = low float
DRREDDY,DR. REDDY S LABORATORIES,Healthcare,1180.0,16.60188143055119,29.7529,8.836999500000001,18.605,30.1,52.0,219.0,56.8,2.4,4,1,2,7,low D/E 19,high institutional 52.0%
DIACABS,DIAMOND POWER INFRA LTD,Industrials,353.8999938964844,6.6226929033022754,93.37731,-15.989999999999998,,75.0,8.6,7.0,45.3,18.1,2,3,2,7,earnings +208%; rev +127%,strong promoter 75.0%; ⚠ very high promoter = low float
TVSSRICHAK,TVS SRICHAKRA LIMITED,Consumer Cyclical,4922.7001953125,2.520788211633663,40.83534,5.988,64.482,53.7,6.9,8.0,46.6,-39.0,5,0,2,7,earnings +164%; rev +30%,strong promoter 53.7%
WESTLIFE,WESTLIFE FOODWORLD LTD,Consumer Cyclical,594.5,23.29032258064516,295.77115,5.289,291.521,61.7,31.8,38.0,47.3,15.1,1,3,3,7,23% below 52w high; rev +11%,strong promoter 61.7%; institutional 31.8%
WELSPUNLIV,WELSPUN LIVING LIMITED,Consumer Cyclical,188.69000244140625,1.4519239366862664,63.96271,4.301,46.501,69.0,15.0,48.0,38.0,-26.4,6,-1,2,7,low D/E 47; earnings +84%; rev +24%,strong promoter 69.0%
YASHO,YASHO INDUSTRIES LIMITED,Basic Materials,4284.2001953125,14.213051755857029,89.55268,5.849,125.684,75.3,5.0,6.0,39.8,-1.1,5,0,2,7,earnings +890%; rev +55%,strong promoter 75.3%; ⚠ very high promoter = low float
YATRA,YATRA ONLINE LIMITED,Consumer Cyclical,114.63999938964844,43.247525054629484,57.89899,5.801,12.403,64.9,14.1,9.0,40.6,-6.9,6,-1,2,7,43% below 52w high; low D/E 12,strong promoter 64.9%
RBLBANK,RBL BANK LIMITED,Financial Services,392.2999877929687,0.406196021403367,32.448303,5.66,100.4317087054479,2.7,52.8,74.0,47.9,-5.8,5,0,2,7,earnings +368%; rev +41%,high institutional 52.8%
NILKAMAL,NILKAMAL LIMITED,Consumer Cyclical,2043.699951171875,2.912116333877672,24.449097,7.5679995,26.499,70.0,14.6,8.0,39.1,-7.1,6,-1,2,7,low D/E 26; earnings +22%,strong promoter 70.0%
EMSLIMITED,EMS LIMITED,Industrials,405.0,31.800957034578264,32.980457,8.956,14.575,69.7,0.3,2.0,34.2,-11.0,6,-1,2,7,32% below 52w high; low D/E 15,strong promoter 69.7%
ABDL,ALLIED BLEND N DISTILS L,Consumer Defensive,595.4500122070312,16.33412926880536,75.46895,13.550999999999998,68.251,80.9,4.3,33.0,47.7,0.8,4,1,2,7,,strong promoter 80.9%; ⚠ very high promoter = low float
ARIHANTSUP,ARIHANT SUPERSTRUCT LTD,Real Estate,247.8500061035156,46.698923418598795,25.18801,11.1269996,194.333,78.8,0.0,0.0,69.8,-9.3,4,1,2,7,47% below 52w high,strong promoter 78.8%; ⚠ very high promoter = low float
SANATHAN,SANATHAN TEXTILES LIMITED,Consumer Cyclical,461.25,16.432649732963593,63.973648,4.204,80.77,78.6,13.0,5.0,53.8,-2.4,4,1,2,7,rev +79%,strong promoter 78.6%; ⚠ very high promoter = low float
BHARATFORG,BHARAT FORGE LTD,Consumer Cyclical,2062.0,10.152505446623094,140.3676,11.603,76.475,47.7,37.5,166.0,52.4,8.0,2,3,2,7,rev +19%,promoter 47.7%; institutional 37.5%
YESBANK,YES BANK LIMITED,Financial Services,22.739999771118164,11.792090126289708,18.949999,7.4650005,127.93754327208444,44.2,18.4,154.0,49.1,-2.0,5,1,1,7,margin 23%; rev +20%,promoter 44.2%
AMRUTANJAN,AMRUTAJAN HEALTH LTD,Healthcare,521.6500244140625,34.047662132468545,27.95552,16.622999999999998,0.48,49.2,11.0,10.0,60.0,-9.7,7,-1,1,7,34% below 52w high; low D/E 0,promoter 49.2%
PRAJIND,PRAJ INDUSTRIES LTD,Industrials,358.45001220703125,17.217087250108257,219.90799,1.7719999,13.217,34.4,25.8,41.0,42.1,-12.1,7,-1,1,7,low D/E 13; earnings +117%; rev +12%,institutional 25.8%
MOREPENLAB,MOREPEN LAB. LTD,Healthcare,96.47000122070312,1.056409004407051,37.683594,7.859000600000001,16.667,42.7,1.5,7.0,28.7,-4.8,6,0,1,7,low D/E 17; earnings +415%; rev +34%,promoter 42.7%
